Description,observed_proximity,z_score,pvalue,p.adjust
Vitamin digestion and absorption,2.82608695652174,-0.659335544645377,0.254840161083347,0.389116480855435
Wnt signaling pathway,2.48484848484849,-1.43658897996565,0.0754174083575585,0.138698682036889
Yersinia infection,1.94285714285714,-7.67174232184226,8.4837778790468e-15,2.71480892129497e-13
alpha-Linolenic acid metabolism,3,-0.0377050887301089,0.484961409331852,0.680647592044705
beta-Alanine metabolism,2.47222222222222,-0.900703950048961,0.183872873960827,0.297013675798944
cAMP signaling pathway,2.5219512195122,-1.59595692942313,0.0552492048945393,0.107303424407387
cGMP-PKG signaling pathway,2.56329113924051,-2.011251186274,0.0221494658230967,0.050268291229723
mRNA surveillance pathway,2.81818181818182,1.71575831543555,0.956896856752438,1
mTOR signaling pathway,2.63924050632911,1.65170592945404,0.950702743330055,1
p53 signaling pathway,2.43835616438356,-0.821386362877648,0.205713114415598,0.322687238298977
